Epic,Task ID,Task,Platform/Area,Priority,Milestone,Release Blocking,Feature Applicability,Owner,Dependencies,Acceptance IDs,Security IDs,Screen IDs,Acceptance,Evidence Path
E13 Build / release / operations,HBR-143,Create operator-controlled signing/notarization step,Release,P0,M3_GA_CORE,Yes,core,Release,HBR-142,ACC-040,SEC-027;SEC-028,,Private signing keys never enter repo; release can be promoted from verified unsigned artifact.,evidence/HBR-143/
E13 Build / release / operations,HBR-144,Create catalog publishing/signing pipeline,Service,P0,M3_GA_CORE,Yes,core,Service,HBR-040,ACC-029,SEC-012;SEC-044,,"Catalog changes are schema-validated, reviewed, signed, staged and rollbackable.",evidence/HBR-144/
E13 Build / release / operations,HBR-145,Create crash/diagnostic opt-in pipeline,All,P1,M4_OPTIONAL_SERVICES,No,feature:diagnostics,All,HBR-121,ACC-069,SEC-018;SEC-030,,Diagnostics are content-free by default; user can preview payload before opt-in send.,evidence/HBR-145/
E13 Build / release / operations,HBR-146,Create reproducible release qualification report generator,Release,P0,M0_CONTRACT,Yes,core,Release,HBR-147,ACC-041,,,"One command emits target applicability, missing evidence and validation status; it cannot turn absent product results into PASS.",evidence/HBR-146/
E14 Readiness reconciliation,HBR-147,Implement executable release-scope ledger and gate evaluator,Release/Core,P0,M0_CONTRACT,Yes,core,Release/Core,HBR-002,ACC-041;ACC-064;ACC-075,,,A release/platform/feature selection yields exactly one required-gate set with PASS/FAIL/BLOCKED/N/A_DISABLED/N/A_PLATFORM states; every blocking gate requires evidence.,evidence/HBR-147/
E14 Readiness reconciliation,HBR-148,"Formalize durable run transitions, pause semantics and executor lease",Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-080,ACC-020;ACC-035;ACC-042;ACC-043,SEC-031;SEC-043;SEC-046,UX-016,Process-kill replay at every transition restores state/budgets; approval-after-cancel and two concurrent resume requests are deterministic and single-owner.,evidence/HBR-148/
E14 Readiness reconciliation,HBR-149,Implement effect intent/idempotency/reconciliation protocol,Core/Tools,P0,M1_LOCAL_REFERENCE,Yes,core,Core/Tools,HBR-080;HBR-022,ACC-009;ACC-010;ACC-036;ACC-044;ACC-045;ACC-068,SEC-007;SEC-008;SEC-015;SEC-031;SEC-032,UX-017;UX-043,"Crash injection before dispatch, after remote acceptance, before local commit and on retry never creates an automatic duplicate; irreconcilable outcomes remain OUTCOME_UNKNOWN.",evidence/HBR-149/
E14 Readiness reconciliation,HBR-150,Implement egress policy matrix and broker enforcement boundary,Core/Native,P0,M1_LOCAL_REFERENCE,Yes,core,Core/Native,HBR-100;HBR-022,ACC-002;ACC-016;ACC-037;ACC-038;ACC-048;ACC-064;ACC-066;ACC-068;ACC-069;ACC-070;ACC-071;ACC-072,SEC-007;SEC-008;SEC-009;SEC-010;SEC-011;SEC-015;SEC-018;SEC-019;SEC-030;SEC-031;SEC-032;SEC-034;SEC-035,UX-031;UX-046,Acquisition/auth/download/inference/connectors/sync/diagnostics each have explicit policy; redirects re-authorize and credentials strip cross-origin; independent capture matches Harbor log.,evidence/HBR-150/
E14 Readiness reconciliation,HBR-151,Implement base-version-bound artifact commit protocol,Core/Artifacts,P0,M1_LOCAL_REFERENCE,Yes,core,Core/Artifacts,HBR-090;HBR-080,ACC-013;ACC-020;ACC-046;ACC-047,SEC-023;SEC-031;SEC-033;SEC-043;SEC-046,UX-012;UX-017;UX-047,"Every mutation batch carries base hash/version, operation IDs and preconditions; revalidation occurs immediately before atomic/safe commit; retries and stale writes cannot overwrite external changes.",evidence/HBR-151/
E14 Readiness reconciliation,HBR-152,Implement encrypted blob/temp/preview/index key lifecycle,Core/Security,P0,M1_LOCAL_REFERENCE,Yes,core,Core/Security,HBR-080,ACC-021;ACC-039;ACC-049;ACC-050,SEC-024;SEC-036;SEC-037;SEC-038,UX-036;UX-041,"Private artifact blobs, extracts, embeddings, previews, temp files and backups have defined encryption/key rotation/deletion behavior; public weights are separated.",evidence/HBR-152/
E14 Readiness reconciliation,HBR-153,Prove Office calculation/layout engine and publish feature matrix,Core/Artifacts,P0,M1_LOCAL_REFERENCE,Yes,core,Core/Artifacts,HBR-091,ACC-011;ACC-012;ACC-051;ACC-052,SEC-041;SEC-042,UX-009,Pinned formula engine and Harbor renderer pass representative workbook/document/deck corpus; supported/preserve-only/reject features and size ceilings are published.,evidence/HBR-153/
E14 Readiness reconciliation,HBR-154,Publish device support matrix and performance qualification contract,All,P0,M2_PLATFORM_BETA,Yes,core,All,HBR-030;HBR-041,ACC-005;ACC-024;ACC-025;ACC-053;ACC-054,SEC-019;SEC-029,UX-002,Exact OS/architecture support and reference-device selection procedure are published; calibration records use the pinned workload protocol. Final GA measurements are required by HBR-132 and ACC-054.,evidence/HBR-154/
E14 Readiness reconciliation,HBR-155,Implement index identity and grounded-answer evaluation contract,Core/RAG,P0,M3_GA_CORE,Yes,feature:rag,Core/RAG,HBR-082,ACC-014;ACC-055;ACC-056,SEC-006;SEC-047,,Embedding/chunker/tokenizer/preprocess identity versions indexes; incompatible changes rebuild/isolate; EN/AR citation support and abstention gates pass.,evidence/HBR-155/
E14 Readiness reconciliation,HBR-156,"Formalize optional sync protocol, conflicts, device authority and key epochs",Core/Service,P1,M4_OPTIONAL_SERVICES,No,feature:sync,Core/Service,HBR-002;HBR-080,ACC-022;ACC-023;ACC-057,SEC-016;SEC-039;SEC-040,UX-035,"Enrollment, key epochs, replay detection, tombstones, conflict rules and run ownership are specified and tested; approval receipts/device-local capabilities never transfer.",evidence/HBR-156/
E14 Readiness reconciliation,HBR-157,Complete provider capability and atomic model-package contract,Core/Model Hub,P0,M1_LOCAL_REFERENCE,Yes,core,Core/Model Hub,HBR-040,ACC-004;ACC-006;ACC-007;ACC-026;ACC-029;ACC-034;ACC-058;ACC-070;ACC-071;ACC-072,SEC-011;SEC-012;SEC-013;SEC-019;SEC-021;SEC-035;SEC-044;SEC-045,UX-045,"System-managed/installed/remote refs, capabilities, cancellation, load cleanup, multi-file roles, atomic install, catalog key rotation and benchmark identity are explicit.",evidence/HBR-157/
E14 Readiness reconciliation,HBR-158,Remediate semantic design tokens and component contrast roles,Design/Flutter,P0,M2_PLATFORM_BETA,Yes,core,Design/Flutter,HBR-011,ACC-018;ACC-019;ACC-059,,UX-037,Text/fill/border/on-fill tokens pass unrounded WCAG 2.2 AA contrast for all normal-text component states in light/dark themes.,evidence/HBR-158/
E14 Readiness reconciliation,HBR-159,Publish language-by-feature matrix and offline Arabic OCR fallback,All,P0,M2_PLATFORM_BETA,Yes,core,All,HBR-095;HBR-015,ACC-019;ACC-060,,UX-037;UX-039;UX-042,UI/model/OCR/embeddings/speech/artifact language support is explicit; Arabic and mixed Arabic/Latin scan fixtures work offline or limitation is blocked before capture.,evidence/HBR-159/
E14 Readiness reconciliation,HBR-160,"Map every UX route to owner, milestone, tasks and required states",Design/Release,P0,M0_CONTRACT,Yes,core,Design/Release,HBR-002;HBR-147,ACC-016;ACC-017;ACC-033;ACC-035;ACC-061;ACC-062;ACC-075,SEC-011,,"Route IDs, feature/platform applicability, real implementation tasks, originating recovery states and evidence paths are validated without requiring the future UI implementation.",evidence/HBR-160/
E14 Readiness reconciliation,HBR-161,Build reference feasibility prototype: local workbook to verified board deck,All,P0,M1_LOCAL_REFERENCE,Yes,core,All,HBR-031;HBR-093;HBR-094;HBR-149;HBR-151;HBR-153,ACC-032;ACC-051;ACC-063;ACC-081,SEC-031;SEC-033;SEC-041;SEC-043,,"On a declared reference device, install a cached/local model fixture, open workbook, recalculate known answers, create deck, preview, approve, safe-save, kill and resume entirely offline. M2 repeats on every qualified target.",evidence/HBR-161/
E11 Privacy / security,HBR-162,Implement optional app lock and secure unlock lifecycle,All,P1,M4_OPTIONAL_SERVICES,No,feature:app_lock,Security,HBR-022;HBR-080;HBR-110;HBR-111;HBR-112,ACC-074,SEC-017;SEC-026,,Biometric/device credential unlock gates private workspace access; lock/background/restart clears active plaintext views and cannot be bypassed through deep links. Device revocation applies only when sync is enabled.,evidence/HBR-162/
